Flow data
Thursday, March 24, 2022 11:59:59.341
TEMP_SMC1	FLOW_SMC1	TEMP_SMC2	FLOW_SMC2	TEMP_SMC3	FLOW_SMC3	valeur_HT
25.150968	0.079392	25.392918	0.069069	25.360658	0.075521	4552.990624
25.142903	0.070359	25.376788	0.062617	25.344528	0.069069	5021.890926
25.126773	0.071650	25.392918	0.067778	25.344528	0.069069	4808.006578
25.167098	0.081973	25.368723	0.070359	25.368723	0.074230	5107.444665
25.150968	0.072940	25.417113	0.067778	25.344528	0.072940	4686.257026
25.167098	0.070359	25.368723	0.065198	25.368723	0.069069	5082.765702
25.167098	0.071650	25.376788	0.062617	25.360658	0.074230	4822.813956
25.142903	0.074230	25.392918	0.070359	25.344528	0.069069	5109.089929
25.134838	0.074230	25.384853	0.069069	25.352593	0.069069	4837.621334
25.159033	0.075521	25.368723	0.066488	25.376788	0.072940	5130.478364
25.159033	0.075521	25.384853	0.067778	25.352593	0.070359	4847.492919
25.126773	0.069069	25.376788	0.062617	25.352593	0.070359	5115.670986
25.159033	0.079392	25.392918	0.069069	25.352593	0.070359	4758.648651
25.134838	0.069069	25.376788	0.067778	25.344528	0.071650	5123.897307
25.134838	0.074230	25.384853	0.062617	25.352593	0.070359	4839.266598
25.175163	0.072940	25.392918	0.069069	25.360658	0.072940	5114.025722
25.142903	0.071650	25.400983	0.069069	25.336463	0.071650	4710.935989
25.159033	0.080682	25.368723	0.069069	25.376788	0.075521	5074.539381
25.183228	0.079392	25.376788	0.063907	25.360658	0.072940	4806.361314
25.134838	0.072940	25.409048	0.066488	25.352593	0.072940	5132.123628
25.175163	0.078102	25.376788	0.065198	25.368723	0.071650	4776.746558
25.126773	0.067778	25.409048	0.065198	25.336463	0.071650	5081.120438
25.150968	0.072940	25.392918	0.067778	25.352593	0.075521	4773.456029
25.167098	0.075521	25.376788	0.065198	25.352593	0.070359	5122.252043
25.167098	0.075521	25.392918	0.065198	25.368723	0.071650	4862.300297
25.126773	0.072940	25.409048	0.066488	25.336463	0.074230	5115.670986
25.134838	0.069069	25.384853	0.061326	25.344528	0.071650	4720.807574
25.167098	0.079392	25.368723	0.066488	25.368723	0.076811	5090.992023
25.134838	0.070359	25.409048	0.070359	25.360658	0.066488	4875.462411
25.159033	0.076811	25.384853	0.069069	25.360658	0.071650	5150.221535
25.134838	0.071650	25.392918	0.063907	25.344528	0.066488	4809.651842
25.175163	0.075521	25.392918	0.067778	25.384853	0.071650	5100.863608
25.134838	0.070359	25.400983	0.066488	25.352593	0.071650	4817.878163
25.150968	0.080682	25.376788	0.069069	25.344528	0.076811	5114.025722
25.134838	0.075521	25.400983	0.060036	25.360658	0.067778	4814.587635
25.183228	0.072940	25.392918	0.063907	25.392918	0.071650	5122.252043
25.142903	0.072940	25.392918	0.066488	25.344528	0.070359	4724.098103
25.159033	0.074230	25.368723	0.065198	25.368723	0.072940	5094.282551
25.167098	0.071650	25.376788	0.063907	25.328398	0.070359	4776.746558
25.150968	0.075521	25.400983	0.066488	25.384853	0.074230	5135.414157
25.142903	0.074230	25.376788	0.063907	25.328398	0.072940	4773.456029
25.159033	0.078102	25.376788	0.069069	25.352593	0.072940	5100.863608
25.150968	0.069069	25.384853	0.065198	25.320333	0.067778	4710.935989
25.150968	0.076811	25.376788	0.067778	25.360658	0.074230	5099.218344
25.134838	0.074230	25.400983	0.071650	25.384853	0.074230	4735.614952
25.150968	0.074230	25.368723	0.067778	25.352593	0.072940	5105.799401
25.150968	0.075521	25.376788	0.063907	25.360658	0.070359	4834.330805
25.134838	0.072940	25.384853	0.069069	25.368723	0.071650	5104.154137
25.175163	0.081973	25.376788	0.063907	25.336463	0.071650	4747.131802
25.142903	0.076811	25.409048	0.067778	25.328398	0.075521	5104.154137
25.159033	0.072940	25.376788	0.065198	25.336463	0.070359	4775.101293
25.167098	0.075521	25.384853	0.069069	25.352593	0.074230	5109.089929
25.142903	0.076811	25.384853	0.063907	25.344528	0.070359	4737.260216
25.134838	0.071650	25.417113	0.066488	25.352593	0.078102	5120.606779
25.126773	0.071650	25.400983	0.066488	25.320333	0.069069	4859.009768
25.167098	0.080682	25.376788	0.065198	25.352593	0.069069	5135.414157
25.142903	0.071650	25.392918	0.069069	25.360658	0.067778	4770.165501
25.159033	0.076811	25.368723	0.063907	25.352593	0.072940	5081.120438
25.150968	0.075521	25.409048	0.069069	25.336463	0.074230	4834.330805
25.142903	0.072940	25.376788	0.057455	25.336463	0.070359	5130.478364
25.183228	0.071650	25.392918	0.071650	25.392918	0.075521	4766.874972
25.150968	0.070359	25.360658	0.063907	25.336463	0.070359	5125.542571
25.175163	0.074230	25.384853	0.069069	25.376788	0.071650	4854.073976
25.126773	0.070359	25.392918	0.066488	25.344528	0.070359	5120.606779
25.167098	0.075521	25.409048	0.070359	25.344528	0.074230	4753.712859
25.126773	0.071650	25.376788	0.063907	25.336463	0.070359	5099.218344
25.142903	0.072940	25.384853	0.067778	25.328398	0.071650	4720.807574
25.167098	0.076811	25.409048	0.065198	25.384853	0.075521	5118.961515
25.134838	0.070359	25.392918	0.067778	25.344528	0.072940	4717.517046
25.167098	0.072940	25.368723	0.065198	25.360658	0.074230	5081.120438
25.142903	0.071650	25.409048	0.070359	25.392918	0.074230	4757.003387
25.175163	0.072940	25.360658	0.070359	25.352593	0.065198	5135.414157
25.134838	0.070359	25.400983	0.066488	25.352593	0.075521	4765.229708
25.175163	0.078102	25.368723	0.065198	25.336463	0.072940	5095.927816
25.134838	0.067778	25.376788	0.066488	25.336463	0.070359	4758.648651
25.167098	0.076811	25.400983	0.071650	25.368723	0.070359	5110.735193
25.167098	0.074230	25.376788	0.063907	25.352593	0.070359	4791.553936
25.134838	0.078102	25.400983	0.074230	25.376788	0.074230	5138.704685
25.142903	0.071650	25.392918	0.069069	25.376788	0.070359	4707.645461
25.167098	0.080682	25.376788	0.070359	25.352593	0.067778	5086.056230
25.167098	0.078102	25.384853	0.066488	25.328398	0.071650	4837.621334
25.142903	0.071650	25.400983	0.067778	25.352593	0.074230	5117.316250
25.150968	0.069069	25.368723	0.063907	25.352593	0.075521	4837.621334
25.175163	0.078102	25.360658	0.070359	25.344528	0.066488	5132.123628
25.159033	0.075521	25.400983	0.065198	25.360658	0.074230	4811.297106
25.134838	0.072940	25.376788	0.063907	25.360658	0.067778	5107.444665
25.126773	0.071650	25.384853	0.063907	25.336463	0.069069	4834.330805
25.167098	0.076811	25.409048	0.070359	25.368723	0.076811	5155.157327
25.134838	0.071650	25.376788	0.063907	25.368723	0.074230	4750.422330
25.150968	0.075521	25.368723	0.069069	25.336463	0.070359	5086.056230
25.142903	0.070359	25.368723	0.065198	25.320333	0.071650	4737.260216
25.167098	0.074230	25.409048	0.063907	25.368723	0.074230	5105.799401
25.134838	0.076811	25.409048	0.072940	25.360658	0.076811	4738.905481
25.167098	0.075521	25.360658	0.062617	25.328398	0.069069	5109.089929
25.126773	0.072940	25.392918	0.065198	25.320333	0.072940	4661.578063
25.150968	0.078102	25.417113	0.067778	25.344528	0.074230	5038.343568
25.159033	0.075521	25.368723	0.069069	25.352593	0.070359	4696.128611
25.142903	0.071650	25.368723	0.065198	25.360658	0.074230	5086.056230
25.126773	0.072940	25.376788	0.062617	25.360658	0.074230	4804.716049
25.159033	0.074230	25.392918	0.071650	25.328398	0.071650	5087.701494
25.142903	0.078102	25.376788	0.062617	25.336463	0.069069	4799.780257
25.134838	0.074230	25.409048	0.067778	25.360658	0.075521	5143.640478
25.167098	0.079392	25.384853	0.065198	25.336463	0.069069	4791.553936
25.142903	0.074230	25.392918	0.067778	25.368723	0.080682	5092.637287
25.142903	0.071650	25.392918	0.060036	25.368723	0.072940	4689.547554
25.167098	0.075521	25.400983	0.072940	25.368723	0.071650	5063.022531
25.150968	0.071650	25.392918	0.070359	25.376788	0.071650	4768.520237
25.167098	0.076811	25.384853	0.069069	25.352593	0.067778	5133.768892
25.159033	0.076811	25.384853	0.070359	25.352593	0.070359	4719.162310
25.134838	0.074230	25.376788	0.062617	25.344528	0.071650	5072.894116
25.142903	0.072940	25.368723	0.063907	25.344528	0.074230	4803.070785
25.167098	0.075521	25.400983	0.069069	25.328398	0.069069	5140.349949
25.175163	0.078102	25.409048	0.069069	25.344528	0.066488	4824.459220
25.134838	0.074230	25.376788	0.066488	25.360658	0.071650	5118.961515
25.159033	0.070359	25.368723	0.065198	25.344528	0.076811	4701.064404
25.142903	0.075521	25.409048	0.072940	25.376788	0.070359	5090.992023
25.159033	0.079392	25.384853	0.072940	25.360658	0.065198	4850.783447
25.150968	0.069069	25.384853	0.062617	25.368723	0.072940	5141.995214
25.150968	0.075521	25.384853	0.065198	25.344528	0.069069	4747.131802
25.134838	0.069069	25.368723	0.062617	25.368723	0.074230	5074.539381
25.175163	0.074230	25.384853	0.069069	25.320333	0.067778	4730.679160
25.126773	0.070359	25.352593	0.066488	25.360658	0.071650	5115.670986
25.183228	0.075521	25.368723	0.069069	25.344528	0.067778	4780.037086
25.134838	0.072940	25.409048	0.065198	25.328398	0.075521	5092.637287
25.150968	0.079392	25.368723	0.061326	25.320333	0.071650	4729.033895
25.134838	0.074230	25.384853	0.061326	25.360658	0.072940	5084.410966
25.126773	0.070359	25.368723	0.067778	25.344528	0.076811	4837.621334
25.175163	0.075521	25.392918	0.066488	25.328398	0.071650	5145.285742
25.126773	0.070359	25.368723	0.066488	25.360658	0.072940	4780.037086
25.150968	0.075521	25.376788	0.071650	25.344528	0.070359	5107.444665
25.159033	0.074230	25.392918	0.070359	25.344528	0.069069	4806.361314
25.142903	0.072940	25.368723	0.066488	25.368723	0.066488	5125.542571
25.134838	0.072940	25.368723	0.063907	25.368723	0.078102	4842.557126
25.183228	0.076811	25.400983	0.074230	25.352593	0.072940	5125.542571
25.159033	0.080682	25.392918	0.062617	25.320333	0.069069	4784.972879
