Puissance depolar
12-05-2022 13:01:06.079
Date	Time	Puissance depolar
12-05-2022 13:01:07.058	20	0.000000
12-05-2022 13:01:08.058	1020	0.000000
12-05-2022 13:01:09.058	2020	0.000000
12-05-2022 13:01:10.058	3020	0.961615
12-05-2022 13:01:11.058	4020	0.949145
12-05-2022 13:01:12.058	5021	0.948428
12-05-2022 13:01:13.059	6021	0.945317
12-05-2022 13:01:14.059	7021	0.943697
12-05-2022 13:01:15.059	8022	0.935477
12-05-2022 13:01:16.061	9023	0.934711
12-05-2022 13:01:17.061	10023	0.939278
12-05-2022 13:01:18.061	11023	0.936922
12-05-2022 13:01:19.061	12023	0.938207
12-05-2022 13:01:20.062	13024	0.000000
12-05-2022 13:01:21.062	14024	0.935212
12-05-2022 13:01:22.062	15024	0.934757
12-05-2022 13:01:23.062	16024	0.930444
12-05-2022 13:01:24.063	17025	0.929519
12-05-2022 13:01:25.063	18025	0.926217
12-05-2022 13:01:26.063	19025	0.929262
12-05-2022 13:01:27.063	20025	0.922955
12-05-2022 13:01:28.063	21025	0.937953
12-05-2022 13:01:29.063	22025	0.928047
12-05-2022 13:01:30.063	23025	0.928890
12-05-2022 13:01:31.063	24025	0.934061
