Energie_IR
28-06-2022-11:27:27.448
Date,Time,Energie_IR
28-06-2022-11:27:31.150,196,0.000000
28-06-2022-11:27:31.312,358,0.000000
28-06-2022-11:27:32.313,1359,0.000000
28-06-2022-11:27:33.312,2358,0.000000
28-06-2022-11:27:34.312,3358,0.000000
28-06-2022-11:27:35.313,4359,0.000000
28-06-2022-11:27:36.313,5359,0.000000
28-06-2022-11:27:37.313,6359,0.000000
28-06-2022-11:27:38.312,7358,0.000000
28-06-2022-11:27:39.312,8358,0.000000
28-06-2022-11:27:40.312,9358,0.000000
28-06-2022-11:27:41.313,10359,0.000000
28-06-2022-11:27:42.312,11358,0.000000
28-06-2022-11:27:43.313,12359,0.000000
28-06-2022-11:27:44.312,13358,0.000000
28-06-2022-11:27:45.313,14359,0.000000
28-06-2022-11:27:46.312,15358,0.000000
28-06-2022-11:27:47.312,16358,0.000000
28-06-2022-11:27:48.313,17359,0.000000
28-06-2022-11:27:49.312,18358,0.000000
28-06-2022-11:27:50.312,19358,0.000000
28-06-2022-11:27:51.313,20359,0.000000
28-06-2022-11:27:52.312,21358,0.000000
28-06-2022-11:27:53.313,22359,0.000000
28-06-2022-11:27:54.312,23358,0.000000
28-06-2022-11:27:55.313,24359,0.000000
28-06-2022-11:27:56.312,25358,0.000000
28-06-2022-11:27:57.312,26358,0.000000
28-06-2022-11:27:58.312,27358,0.000000
28-06-2022-11:27:59.312,28358,0.000000
28-06-2022-11:28:00.313,29359,0.000000
28-06-2022-11:28:01.313,30359,0.000000
28-06-2022-11:28:02.312,31358,0.000000
28-06-2022-11:28:03.312,32358,0.000000
28-06-2022-11:28:04.312,33358,0.000000
28-06-2022-11:28:05.313,34359,0.000000
28-06-2022-11:28:06.313,35359,0.000000
28-06-2022-11:28:07.312,36358,0.000000
28-06-2022-11:28:08.312,37358,0.000000
28-06-2022-11:28:09.313,38359,0.000000
28-06-2022-11:28:10.312,39358,0.000000
28-06-2022-11:28:11.313,40359,0.000000
28-06-2022-11:28:12.313,41359,0.000000
28-06-2022-11:28:13.312,42358,0.000000
28-06-2022-11:28:14.312,43358,0.000000
28-06-2022-11:28:15.313,44359,0.000000
28-06-2022-11:28:16.312,45358,0.000000
28-06-2022-11:28:17.312,46358,0.000000
28-06-2022-11:28:18.312,47358,0.000000
28-06-2022-11:28:19.313,48359,0.000000
28-06-2022-11:28:20.312,49358,0.000000
28-06-2022-11:28:21.312,50358,0.000000
28-06-2022-11:28:22.313,51359,0.000000
28-06-2022-11:28:23.312,52358,0.000000
28-06-2022-11:28:24.313,53359,0.000000
28-06-2022-11:28:25.312,54358,0.000000
28-06-2022-11:28:26.313,55359,0.000000
28-06-2022-11:28:27.312,56358,0.000000
28-06-2022-11:28:28.313,57359,0.000000
28-06-2022-11:28:29.312,58358,0.000000
28-06-2022-11:28:30.313,59359,0.000000
28-06-2022-11:28:31.312,60358,0.000000
28-06-2022-11:28:32.312,61358,0.000000
28-06-2022-11:28:33.313,62359,0.000000
28-06-2022-11:28:34.313,63359,0.000000
28-06-2022-11:28:35.312,64358,0.000000
28-06-2022-11:28:36.313,65358,0.000000
28-06-2022-11:28:37.313,66358,0.000000
28-06-2022-11:28:38.313,67358,0.000000
28-06-2022-11:28:39.313,68358,0.000000
28-06-2022-11:28:41.825
