Puissance_depolar
28-06-2022-11:40:44.189
Date,Time,Puissance_depolar
28-06-2022-11:40:45.395,123,0.000000
28-06-2022-11:40:46.314,1042,0.000000
28-06-2022-11:40:47.313,2041,0.011725
28-06-2022-11:40:48.313,3041,0.014253
28-06-2022-11:40:49.313,4041,0.012287
28-06-2022-11:40:50.313,5041,0.010330
28-06-2022-11:40:51.313,6041,0.012366
28-06-2022-11:40:52.314,7042,0.010563
28-06-2022-11:40:53.312,8041,0.009977
28-06-2022-11:40:54.312,9041,0.010991
28-06-2022-11:40:55.312,10041,0.010654
28-06-2022-11:40:56.313,11042,0.012401
28-06-2022-11:40:57.312,12041,0.000000
28-06-2022-11:40:58.313,13042,0.011063
28-06-2022-11:40:59.313,14041,0.010914
28-06-2022-11:41:00.313,15041,0.011594
28-06-2022-11:41:01.313,16041,0.012287
28-06-2022-11:41:02.313,17041,0.013693
28-06-2022-11:41:03.314,18042,0.009957
28-06-2022-11:41:04.313,19041,0.012759
28-06-2022-11:41:05.313,20041,0.010582
28-06-2022-11:41:06.312,21041,0.010980
28-06-2022-11:41:07.313,22041,0.012564
28-06-2022-11:41:08.313,23041,0.009790
28-06-2022-11:41:09.313,24041,0.000000
28-06-2022-11:41:10.313,25041,0.010058
28-06-2022-11:41:11.313,26041,0.011766
28-06-2022-11:41:12.313,27041,0.010498
28-06-2022-11:41:13.313,28042,0.012762
